Início da produção: 2026-01-12 12-29-52
Tamanho: 269ml_FIT | Feed: 5.1312
==================================================
2026-01-12 12-29-52: Main: 0, Feed: 5.1312
2026-01-12 12-35-59: Main: 0, Feed: 5.1312
2026-01-12 12-39-43: Main: 0, Feed: 5.1312
2026-01-12 12-45-09: Main: 0, Feed: 5.1312
2026-01-12 12-49-50: Main: 0, Feed: 5.1312
2026-01-12 13-06-17: Main: 15, Feed: 5.1312
2026-01-12 13-09-08: Main: 30, Feed: 5.1312
2026-01-12 13-09-57: Main: 45, Feed: 5.1312
2026-01-12 13-13-44: Main: 45, Feed: 5.1312
2026-01-12 13-15-28: Main: 60, Feed: 5.1312
2026-01-12 13-16-36: Main: 75, Feed: 5.1312
2026-01-12 13-34-19: Main: 90, Feed: 5.1312
2026-01-12 13-35-03: Main: 105, Feed: 5.1312
2026-01-12 13-35-26: Main: 120, Feed: 5.1312
2026-01-12 13-35-51: Main: 150, Feed: 5.1312
2026-01-12 13-35-52: Main: 165, Feed: 5.1312
2026-01-12 13-35-53: Main: 195, Feed: 5.1312
2026-01-12 13-35-54: Main: 225, Feed: 5.1312
2026-01-12 13-35-56: Main: 255, Feed: 5.1312
2026-01-12 13-35-57: Main: 285, Feed: 5.1312
2026-01-12 13-35-58: Main: 315, Feed: 5.1312
2026-01-12 13-35-59: Main: 345, Feed: 5.1312
2026-01-12 13-36-00: Main: 375, Feed: 5.1312
2026-01-12 13-36-01: Main: 405, Feed: 5.1312
2026-01-12 13-36-02: Main: 435, Feed: 5.1312
2026-01-12 13-36-03: Main: 465, Feed: 5.1312
2026-01-12 13-36-04: Main: 480, Feed: 5.1312
2026-01-12 13-36-05: Main: 510, Feed: 5.1312
2026-01-12 13-36-06: Main: 540, Feed: 5.1312
2026-01-12 13-36-07: Main: 570, Feed: 5.1312
2026-01-12 13-36-08: Main: 600, Feed: 5.1312
2026-01-12 13-36-09: Main: 630, Feed: 5.1312
2026-01-12 13-36-10: Main: 660, Feed: 5.1312
2026-01-12 13-36-11: Main: 690, Feed: 5.1312
2026-01-12 13-36-12: Main: 720, Feed: 5.1312
2026-01-12 13-36-13: Main: 750, Feed: 5.1312
2026-01-12 13-36-14: Main: 780, Feed: 5.1312
2026-01-12 13-36-15: Main: 795, Feed: 5.1312
2026-01-12 13-36-17: Main: 825, Feed: 5.1312
2026-01-12 13-36-18: Main: 855, Feed: 5.1312
2026-01-12 13-36-19: Main: 885, Feed: 5.1312
2026-01-12 13-52-36: Main: 885, Feed: 5.1312
2026-01-12 14-47-41: Main: 900, Feed: 5.1312
2026-01-12 15-00-25: Main: 900, Feed: 5.1312
2026-01-12 15-02-26: Main: 900, Feed: 5.1312
2026-01-12 15-02-43: Main: 900, Feed: 5.1312
2026-01-12 15-04-38: Main: 900, Feed: 5.1312
2026-01-12 15-08-56: Main: 900, Feed: 5.1312
2026-01-12 16-31-06: Main: 915, Feed: 5.1312
2026-01-12 16-31-24: Main: 930, Feed: 5.1312
2026-01-12 16-32-18: Main: 945, Feed: 5.1312
2026-01-12 16-33-18: Main: 960, Feed: 5.1312
2026-01-12 16-33-30: Main: 975, Feed: 5.1312
2026-01-12 16-33-31: Main: 990, Feed: 5.1312
2026-01-12 16-33-32: Main: 1020, Feed: 5.1312
2026-01-12 16-33-33: Main: 1050, Feed: 5.1312
2026-01-12 16-33-34: Main: 1080, Feed: 5.1312
2026-01-12 16-33-35: Main: 1110, Feed: 5.1312
2026-01-12 17-16-20: Main: 1125, Feed: 5.1312
2026-01-12 17-17-11: Main: 1140, Feed: 5.1312
